lemmas,idioms,phrasal verbs,collocations
'abducted','analyze','get rid of','army pension'
'acclimatised','chances','pick up','army service'
'advantage','chess','give up','army training'
'alarming','chinese','take off','bright young things'
'alibi','court','look out','faintly interesting'
'amateur','crack','keep up','frustrating time'
'analysis','minor','stay away','military career'
'aneurism','risk','hold on','military service'
'apparent',,'take after','meaningful sum'
'apparently',,'call back','proven track'
'appearance',,'keep out','statistically likely'
'applause',,'take a chance','vast experience'
'appreciation',,'take a risk','vivid memory'
'assume',,'take a shot',
'assuming',,'take a breath',
'assumption',,'take a walk',
'audience',,,
'balance',,,
'basically',,,
'battery',,,
'battlefield',,,
'belong',,,
'belonged',,,
'bitterness',,,
'blanket',,,
'blog',,,
'bluff',,,
'blunder',,,
'bravery',,,
'breathing',,,
'brilliant',,,
'bringing',,,
'brought',,,
'building',,,
'bulky',,,
'bullet',,,
'burn',,,
'business',,,
'buzz',,,
'californian',,,
'capable',,,
'career',,,
'central',,,
'certainly',,,
'chance',,,
'change',,,
'charge',,,
'chasing',,,
'cheat',,,
'circumstance',,,
'civilian',,,
'cleaned',,,
'cleaner',,,
'cleared',,,
'clever',,,
'cleverer',,,
'clothes',,,
'coat',,,
'coffee',,,
'collar',,,
'colleague',,,
'college',,,
'colour',,,
'commit',,,
'common',,,
'compelled',,,
'concern',,,
'concerned',,,
'confession',,,
'confirm',,,
'conscious',,,
'constantly',,,
'contaminated',,,
'coordinate',,,
'correctly',,,
'conversation',,,
'credit',,,
'crime',,,
'criminal',,,
'crowded',,,
'daily',,,
'dangerous',,,
'deal',,,
'dealing',,,
'decent',,,
'decided',,,
'deduction',,,
'definitely',,,
'deodorant',,,
'destination',,,
'detail',,,
'detective',,,
'desperate',,,
'disappeared',,,
'discreet',,,
'disorder',,,
'dispose',,,
'distracting',,,
'divorce',,,
'distance',,,
'dramatic',,,
'dreadful',,,
'driving',,,
'dull',,,
'dying',,,
'education',,,
'effort',,,
'emergency',,,
'enemy',,,
'enjoy',,,
'ensured',,,
'exchange',,,
'executed',,,
'expensive',,,
'experiment',,,
'explain',,,
'extended',,,
'extraordinary',,,
'faintest',,,
'fantastic',,,
'feud',,,
'fiction',,,
'fighter',,,
'fingernail',,,
'finished',,,
'flat',,,
'flattered',,,
'forensics',,,
'frailty',,,
'freelance',,,
'frightening',,,
'funnily',,,
'genius',,,
'giggle',,,
'gunpoint',,,
'gunshot',,,
'habit',,,
'hang',,,
'happened',,,
'happily',,,
'haunted',,,
'hence',,,
'herbal',,,
'history',,,
'hurting',,,
'identify',,,
'immediate',,,
'imply',,,
'important',,,
'impossible',,,
'improvement',,,
'indiscreet',,,
'information',,,
'injury',,,
'inside',,,
'inspector',,,
'intended',,,
'interested',,,
'interesting',,,
'intermittent',,,
'internet',,,
'investigating',,,
'investigation',,,
'invisible',,,
'invited',,,
'iraq',,,
'jeffrey',,,
'jewellery',,,
'knew',,,
'knock',,,
'knocking',,,
'known',,,
'laugh',,,
'laundered',,,
'leading',,,
'leap',,,
'least',,,
'leaving',,,
'life',,,
'lifetime',,,
'likely',,,
'limp',,,
'linked',,,
'logical',,,
'luxury',,,
'lying',,,
'lunatic',,,
'luggage',,,
'marksman',,,
'luxury',,,
'lunatic',,,
'luggage',,,
'marksman',,,
'married',,,
'mastermind',,,
'meaningful',,,
'medical',,,
'medium',,,
'mention',,,
'microwave',,,
'military',,,
'minister',,,
'moral',,,
'mortuary',,,
'motivation',,,
'motivator',,,
'mp3',,,
'mystery',,,
'narrow',,,
'natural',,,
'nerve',,,
'northumberland',,,
'observed',,,
'obviously',,,
'occupy',,,
'occur',,,
'oddly',,,
'ongoing',,,
'online',,,
'opposite',,,
'organisation',,,
'organiser',,,
'original',,,
'otherwise',,,
'outlived',,,
'overnight',,,
'ought',,,
'panicked',,,
'paralytic',,,
'particularly',,,
'passenger',,,
'password',,,
'pattern',,,
'patterson',,,
'pedestrian',,,
'pension',,,
'perfectly',,,
'phillimore',,,
'picket',,,
'pickpocket',,,
'pilot',,,
'planted',,,
'polishing',,,
'popping',,,
'potentially',,,
'practically',,,
'precaution',,,
'precisely',,,
'predict',,,
'preliminary',,,
'principle',,,
'probability',,,
'psychopath',,,
'psychosomatic',,,
'professional',,,
'properly',,,
'prove',,,
'proved',,,
'proving',,,
'refreshed',,,
'recognised',,,
'recreational',,,
'reference',,,
'reasonably',,,
'relationship',,,
'remarkable',,,
'resentful',,,
'resembles',,,
'ridiculous',,,
'ringing',,,
'risked',,,
'romantic',,,
'route',,,
'rubbish',,,
'scene',,,
'science',,,
'scratched',,,
'scrubbed',,,
'scuff',,,
'seat',,,
'secret',,,
'security',,,
'seizure',,,
'sentiment',,,
'sergeant',,,
'serial',,,
'seriously',,,
'service',,,
'session',,,
'shade',,,
'shaken',,,
'shaking',,,
'shock',,,
'shooter',,,
'shinier',,,
'siren',,,
'situation',,,
'skull',,,
'slightly',,,
'smartphone',,,
'smelling',,,
'smoking',,,
'sniffer',,,
'sociopath',,,
'solving',,,
'sober',,,
'sound',,,
'speaking',,,
'spirited',,,
'spotlight',,,
'squad',,,
'staring',,,
'statistically',,,
'status',,,
'stillborn',,,
'stress',,,
'strictly',,,
'straighten',,,
'sustain',,,
'surveillance',,,
'survivor',,,
'technically',,,
'therapist',,,
'threat',,,
'traumatic',,,
'uncomfortable',,,
'unnoticed',,,
'upset',,,
'upgrade',,,
'unusual',,,
'vacant',,,
'vaporised',,,
'various',,,
'vicious',,,
'victim',,,
'violence',,,
'violent',,,
'volunteered',,,
'wail',,,
'wasted',,,
'wasting',,,
