lemmas,idioms,phrasal verbs,collocations
'accept','lock away','lock away','dreadful'
'actually','dreadful prison','break down','brave'
'afraid','break the spell','find out','enchantment'
'already','get a little privacy','look out','primal'
'although','trail of silence','go over','false'
'always','manly stories','get rid','fairy'
'amazing','get a little peace','hang out','dishonest'
'another','crack one off','get through','licked'
'anxious','over a pint','get over','perfect'
'appear','brimstone','keep out','squeezing'
'applause','noble steed','get out of','public'
'appreciate',"""true love's first kiss""",,'document'
'around','measure up',,'noble'
'arrest','keep out',,'shining'
'as','get out of my sight',,'woods'
'assemble',,,
'attention',,,
'await',,,
'awaiting',,,
'awaits',,,
'away',,,
'awful',,,
'bear',,,
'beast',,,
'beautiful',,,
'beauty',,,
'behind',,,
'besieged',,,
'bold',,,
'bother',,,
'boulder',,,
'brain',,,
'brave',,,
'breathe',,,
'breathing',,,
'brimstone',,,
'bride',,,
'brimstone',,,
'brimstone',,,
'catch',,,
'celebrity',,,
'champion',,,
'charming',,,
'chatterbox',,,
'choice',,,
'cinderella',,,
'cleaning',,,
'command',,,
'commitment',,,
'compensating',,,
'congratulation',,,
'consequence',,,
'confession',,,
'concerned',,,
'compliment',,,
'colorblind',,,
'coladas',,,
'comfortable',,,
'coming',,,
'compensating',,,
'congratulation',,,
'consequence',,,
'decorator',,,
'definitively',,,
'delicious',,,
'designated',,,
'destiny',,,
'definitely',,,
'detect',,,
'decapitated',,,
'dignified',,,
'description',,,
'deliver',,,
'derive',,,
'disgusting',,,
'dignified',,,
'dine',,,
'dreadful',,,
'dumped',,,
'decent',,,
'decorator',,,
'destiny',,,
'definitively',,,
'deliver',,,
'derive',,,
'description',,,
'designated',,,
'deed',,,
'disgusting',,,
'dine',,,
'dreadful',,,
'dumped',,,
'dignified',,,
'decorator',,,
'definitely',,,
'detect',,,
'decent',,,
'decapitated',,,
'embarking',,,
'enchantment',,,
'emotionally',,,
'emotional',,,
'entertain',,,
'entirely',,,
'especially',,,
'excellent',,,
'expected',,,
'explains',,,
'facility',,,
'fearful',,,
'felonious',,,
'feminine',,,
'flawless',,,
'following',,,
'forgive',,,
'freedom',,,
'freshly',,,
'gratitude',,,
'guard',,,
'guarded',,,
'happen',,,
'happened',,,
'happens',,,
'heavier',,,
'helmet',,,
'honor',,,
'hurricane',,,
'include',,,
'information',,,
'incredible',,,
'indeed',,,
'install',,,
'instinct',,,
'introduce',,,
'irritating',,,
'jealous',,,
'judge',,,
'knight',,,
'magnitude',,,
'manly',,,
'marriage',,,
'married',,,
'marrying',,,
'measure',,,
'measuring',,,
'mentally',,,
'messenger',,,
'miniature',,,
'moment',,,
'monster',,,
'morning',,,
'muffinman',,,
'nasty',,,
'nervous',,,
'norm',,,
'ogre',,,
'opposite',,,
'outrageous',,,
'part',,,
'pathetic',,,
'patience',,,
'peeled',,,
'perk',,,
'pet',,,
'physical',,,
'planet',,,
'playing',,,
'poetry',,,
'possessed',,,
'potential',,,
'precious',,,
'preposterious',,,
'prevailed',,,
'privacy',,,
'privilege',,,
'probably',,,
'problem',,,
'pronounce',,,
'properly',,,
'propose',,,
'prove',,,
'puppet',,,
'question',,,
'quiet',,,
'quite',,,
'radiant',,,
'reached',,,
'reason',,,
'recognize',,,
'relationship',,,
'remember',,,
'rescue',,,
'rescued',,,
'rescuer',,,
'resettlement',,,
'residing',,,
'respect',,,
'responsible',,,
'rest',,,
'reunion',,,
'romantic',,,
'rotisserie',,,
'rounded',,,
'sacrifice',,,
'saviour',,,
'scarier',,,
'schilling',,,
'seems',,,
'serious',,,
'shining',,,
'shrek',,,
'short',,,
'showwhite',,,
'shyness',,,
'smelly',,,
'sparkling',,,
'splendid',,,
'spooky',,,
'squatter',,,
'staggering',,,
'stair',,,
'startled',,,
'startling',,,
'stature',,,
'steed',,,
'stew',,,
'stubborn',,,
'superfly',,,
'technically',,,
'terrified',,,
'terrifying',,,
'throwback',,,
'tictac',,,
'tournament',,,
'transport',,,
'truly',,,
'tunnel',,,
'twinge',,,
'twitching',,,
'uninvited',,,
'unorthodox',,,
'unsuccessful',,,
'unwanted',,,
'waffle',,,
'wan',,,
'warned',,,
'warning',,,
'wedd',,,
'wonderful',,,
'wondering',,,
'wooden',,,
'wrapped',,,
