word,task,solution
the best salt in all the Shire,"Fill in the gap: ""This is the _______ in all the Shire.""",best salt
face it,"Choose the correct translation into Russian: ""Признай это"" or ""Смотри на это""",Признай это
nasty bog,"Write one-word translation from English to Russian: ""bog""",болото
take it off us,"Multiple choice: What is the correct Russian translation? A) ""Сними это с нас"" B) ""Оставь это нам""","A) ""Сними это с нас"""
tie him up,"Write one-word translation from Russian to English: ""привязать""",tie
take it off,"Fill in the gap: ""Please, _______ the coat.""",take it off
an act,"Choose the correct translation into Russian: ""акт"" or ""действие""",акт
wasted on cross-country,"Write one-word translation from English to Russian: ""wasted""",потраченное
natural sprinters,"Multiple choice: What is the correct Russian translation? A) ""естественные спринтеры"" B) ""природные бегуны""","A) ""естественные спринтеры"""
sets it against us,"Fill in the gap: ""He _______ it against us.""",sets
rip out,"Fill in the gap: ""The old tree was so damaged that they had to ________ it ________.""",rip out
"Gnawing, biting, breaking, hacking, burning","Choose the correct translation into Russian: ""Gnawing, biting, breaking, hacking, burning""","Грызение, укусы, разрушение, рубка, сжигание"
Destroyers and usurpers,"Write one-word translation from English to Russian: ""Destroyers""",Разрушители
not like master,"Fill in the gap: ""He is a loyal servant, but he ________ ________ his master.""",not like
dead faces,"Multiple choice: ""The ________ ________ in the crowd were eerie.""",dead faces
dead ones,"Write one-word translation from Russian to English: ""Мертвецы""",dead ones
light little candles,"Fill in the gap: ""She ________ ________ ________ on the altar.""",light little candles
throw down my enemy,"Choose the correct translation into Russian: ""throw down my enemy""",сбить моего врага
easily cured,"Write one-word translation from Russian to English: ""Легко излечимое""",easily cured
stop your fretting,"Multiple choice: ""________ ________ ________ and relax.""",stop your fretting
the Black Gate of Mordor,"Fill in the gap: ""They approached ________ ________ ________ ________.""",the Black Gate of Mordor
do not regret your decision to leave him,"Write one-word translation from English to Russian: ""regret""",жалеть
": ""there","s another way""",есть другой путь
lost the Entwives,Fill in the gap: The Ents have ___________.,lost the Entwives
deserted you,Choose the correct translation into Russian: They have ___________ you.\nA) покинули\nB) оставили\nC) забыли\nD) предали,A) покинули
be welcome,Write one-word translation from English to Russian: You will be welcome.,добро пожаловать
grasp your sword,Multiple choice: The knight ___________ his sword and charged.\nA) grasped\nB) grabbed\nC) took\nD) held,A) grasped
fight for their king,Fill in the gap: The soldiers are ready to ___________.,fight for their king
return and fight for the king,Write one-word translation from Russian to English: Возвращайся и сражайся за короля.,return and fight for the king
no way out,Choose the correct translation into Russian: There is ___________.\nA) нет выхода\nB) нет пути\nC) нет решения\nD) нет надежды,A) нет выхода
turn this fellow free,Fill in the gap: The judge decided to ___________.,turn this fellow free
a cage,Write one-word translation from English to Russian: The bird is in ___________.,клетке
run him down all the time,Multiple choice: She ___________ him all the time.\nA) praises\nB) criticizes\nC) ignores\nD) supports,B) criticizes
be one of the Dúnedain,Choose the correct translation into Russian: You are ___________.\nA) одним из Дунедайнов\nB) одним из эльфов\nC) одним из гоблинов\nD) одним из хоббитов,A) одним из Дунедайнов
blessed with long life,Fill in the gap: The elves are ___________.,blessed with long life
your race had passed into legend,Write one-word translation from Russian to English: Ваша раса вошла в легенду.,your race had passed into legend
under attack,Fill in the gap: The city is ______ ______ and we must defend it.,under attack
charge forward,Multiple choice: The soldiers decided to ______ ______ despite the danger. A) stand still B) charge forward C) retreat D) hide,B) charge forward
draw all our forces behind the wall,"Write one-word translation from English to Russian: ""Draw all our forces behind the wall"" — ""________ все наши силы за стену"".",Сосредоточить
bar the gate,"Write one-word translation from Russian to English: ""Закрыть ворота"" — ""______ the gate"".",bar
set a watch on the surround,"Choose the correct translation into Russian: ""Set a watch on the surround"" — A) Установить часового на окрестности B) Поставить стражу на окраине C) Назначить наблюдателя на периметр",A) Установить часового на окрестности
for a small culvert at its base,Fill in the gap: The enemy might use ______ ______ ______ ______ ______ ______ ______ ______ to sneak in.,for a small culvert at its base
victory is at hand,Multiple choice: The general announced that ______ ______ ______ ______. A) the battle is lost B) the war is over C) victory is at hand D) the enemy is retreating,C) victory is at hand
leave none alive,"Write one-word translation from English to Russian: ""Leave none alive"" — ""Не оставлять ______ ______"".",ни одного
there will be no dawn for Men,"Write one-word translation from Russian to English: ""Не будет рассвета для людей"" — ""______ ______ ______ for Men"".",there will be no
