WORD,LEVEL
a,A1
about,A1
above,A1
across,A1
action,A1
activity,A1
actor,A1
actress,A1
add,A1
address,A1
adult,A1
advice,A1
afraid,A1
after,A1
afternoon,A1
again,A1
age,A1
ago,A1
agree,A1
air,A1
airport,A1
all,A1
also,A1
always,A1
amazing,A1
and,A1
angry,A1
animal,A1
another,A1
answer,A1
any,A1
anyone,A1
anything,A1
apartment,A1
apple,A1
April,A1
area,A1
arm,A1
around,A1
arrive,A1
art,A1
article,A1
artist,A1
as,A1
ask,A1
at,A1
August,A1
aunt,A1
autumn,A1
away,A1
baby,A1
back,A1
bad,A1
bag,A1
ball,A1
banana,A1
band,A1
bank,A1
bath,A1
bathroom,A1
be,A1
beach,A1
beautiful,A1
because,A1
become,A1
bed,A1
bedroom,A1
beer,A1
before,A1
begin,A1
beginning,A1
behind,A1
believe,A1
below,A1
best,A1
better,A1
between,A1
bicycle,A1
big,A1
bike,A1
bill,A1
bird,A1
birthday,A1
black,A1
blog,A1
blonde,A1
blue,A1
boat,A1
body,A1
book,A1
boot,A1
bored,A1
boring,A1
born,A1
both,A1
bottle,A1
box,A1
boy,A1
boyfriend,A1
bread,A1
break,A1
breakfast,A1
bring,A1
brother,A1
brown,A1
build,A1
building,A1
bus,A1
business,A1
busy,A1
but,A1
butter,A1
buy,A1
by,A1
bye,A1
cafe,A1
cake,A1
call,A1
camera,A1
can,A1
cannot,A1
capital,A1
car,A1
card,A1
career,A1
carrot,A1
carry,A1
cat,A1
CD,A1
cent,A1
centre,A1
century,A1
chair,A1
change,A1
chart,A1
cheap,A1
check,A1
cheese,A1
chicken,A1
child,A1
chocolate,A1
choose,A1
cinema,A1
city,A1
class,A1
classroom,A1
clean,A1
climb,A1
clock,A1
close,A1
clothes,A1
club,A1
coat,A1
coffee,A1
cold,A1
college,A1
colour,A1
come,A1
common,A1
company,A1
compare,A1
complete,A1
computer,A1
concert,A1
conversation,A1
cook,A1
cooking,A1
cool,A1
correct,A1
cost,A1
could,A1
country,A1
course,A1
cousin,A1
cow,A1
cream,A1
create,A1
culture,A1
cup,A1
customer,A1
cut,A1
dad,A1
